feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
COG1833	Mean_Oxygen	Mean_Oxygen	-0.0277899038717536	0.00321352571039239	139	135	3.61340314918782e-13	6.61632183632036e-09
COG5013	Mean_Oxygen	Mean_Oxygen	-0.0389243409175333	0.00448174064808444	139	139	3.04585086541236e-13	6.61632183632036e-09
COG4856	log_depth	log_depth	2.43051723748833	0.289482027459303	139	93	1.14393499581102e-12	1.39640144938651e-08
COG4012	Mean_Oxygen	Mean_Oxygen	-0.0851352673957378	0.0102837216055234	139	50	1.95751340500181e-12	1.79215246011428e-08
COG3363	log_depth	log_depth	3.41477531708317	0.423576776487114	139	55	5.27169673296869e-12	3.86109612116093e-08
COG1274	Mean_Oxygen	Mean_Oxygen	-0.0177803249864596	0.00223689701140413	139	139	8.8297054713519e-12	4.61932348666254e-08
COG5566	log_depth	log_depth	3.13832771568968	0.393919378155764	139	62	8.12417058189813e-12	4.61932348666254e-08
COG4347	log_depth	log_depth	3.95685525733375	0.501625317387239	139	53	1.16359844172514e-11	5.32651731680206e-08
COG1307	log_depth	log_depth	1.1497211249985	0.147021193160033	139	139	1.5853923269356e-11	6.45096137830097e-08
COG5427	log_depth	log_depth	1.34339268219404	0.172883170062668	139	131	1.986328458625e-11	7.27413344833062e-08
COG3261	Mean_Oxygen	Mean_Oxygen	-0.0480838930757135	0.00622610260183609	139	72	2.46560450096684e-11	8.20844567544605e-08
COG2006	Mean_Oxygen	Mean_Oxygen	-0.0256013339943401	0.00341399432997429	139	136	6.80644336706823e-11	2.07715635454505e-07
COG1617	log_depth	log_depth	3.15615387462461	0.422079879426413	139	50	7.49522624611222e-11	2.11140523352981e-07
COG2768	log_depth	log_depth	1.59585338451169	0.214815167588825	139	122	9.33863632439054e-11	2.44278714882504e-07
COG2403	Mean_Oxygen	Mean_Oxygen	-0.0523217735035143	0.0071036178157806	139	60	1.24351212437692e-10	3.03591050045382e-07
COG1014	Mean_Oxygen	Mean_Oxygen	-0.0105228188929556	0.00143173087480955	139	139	1.33529175278511e-10	3.05623245492146e-07
COG1107	log_depth	log_depth	2.69744683712968	0.369094717222227	139	88	1.60943864740444e-10	3.467014865094e-07
COG1148	Mean_Oxygen	Mean_Oxygen	-0.0317668281062483	0.00436793351816373	139	128	1.88870690990171e-10	3.64033346039529e-07
COG1745	log_depth	log_depth	3.89990497698528	0.535960841343188	139	49	1.85720542638718e-10	3.64033346039529e-07
COG2150	log_depth	log_depth	3.23828818419728	0.446061237367379	139	56	2.0024455031958e-10	3.66657783862667e-07
COG1202	log_depth	log_depth	2.88105134778142	0.400416321819934	139	80	2.67708023699369e-10	4.66844549328314e-07
COG3365	log_depth	log_depth	3.50105962027574	0.487329684743915	139	53	2.81223803024536e-10	4.68122585934614e-07
COG0581	log_PO4	log_PO4	-0.639507359864441	0.0893229812059382	139	139	3.14159981456414e-10	5.00210986126754e-07
COG2181	Mean_Oxygen	Mean_Oxygen	-0.0194500563228773	0.00272516246216732	139	139	3.47183389703957e-10	5.08568116573944e-07
COG2226	log_depth	log_depth	-0.121532725396454	0.0170126200397434	139	139	3.37253877341414e-10	5.08568116573944e-07
COG1461	log_depth	log_depth	1.06165984330165	0.149740151637374	139	139	4.28945858383493e-10	6.0417024153315e-07
COG2391	sqrt_iron	sqrt_iron	1.21717804869821	0.172864041165081	139	139	5.33553920792901e-10	7.23676967902104e-07
COG0478	log_depth	log_depth	2.87039457718035	0.410153093884222	139	61	6.46286849973391e-10	8.45273954745555e-07
COG1117	log_PO4	log_PO4	-0.578287653640798	0.0828203859860263	139	139	6.93887677439947e-10	8.67935035407253e-07
COG4745	log_depth	log_depth	1.20265775600358	0.172375410952185	139	130	7.11014201201976e-10	8.67935035407253e-07
COG0226	log_PO4	log_PO4	-0.666100099993624	0.0958452354499992	139	139	8.02813244308326e-10	8.90903752115612e-07
COG0674	Mean_Oxygen	Mean_Oxygen	-0.0131023718814046	0.00188425245519422	139	139	7.8907297814098e-10	8.90903752115612e-07
COG1150	Mean_Oxygen	Mean_Oxygen	-0.0291838506975841	0.00419278635931229	139	126	7.6525353656844e-10	8.90903752115612e-07
COG0394	log_PO4	log_PO4	-0.20966646006615	0.0302181368026171	139	139	8.44350206046707e-10	9.09439673401073e-07
COG1681	log_depth	log_depth	2.72627752294089	0.394210724487054	139	65	9.33984165900214e-10	9.77240975412335e-07
COG1140	Mean_Oxygen	Mean_Oxygen	-0.0371340990710389	0.00537606038897125	139	139	9.69931790312561e-10	9.86663113695453e-07
COG2861	log_depth	log_depth	0.618153984502709	0.0896355523143796	139	139	1.01862775612176e-09	1.00819370424149e-06
COG1379	Mean_Oxygen	Mean_Oxygen	-0.0447269418658236	0.00650318985363851	139	96	1.10657540384736e-09	1.06641836484984e-06
COG0561	log_depth	log_depth	0.671363531308345	0.0980031643340034	139	139	1.24919835511545e-09	1.15145572077555e-06
COG2044	Mean_Oxygen	Mean_Oxygen	-0.0272337447615953	0.003976367177559	139	124	1.25769992165757e-09	1.15145572077555e-06
COG1013	Mean_Oxygen	Mean_Oxygen	-0.0125337422928398	0.0018323007036808	139	139	1.30588561095361e-09	1.15199444319799e-06
COG1966	log_depth	log_depth	0.733387052512635	0.107254595363783	139	139	1.321202769294e-09	1.15199444319799e-06
COG2247	log_depth	log_depth	1.66443119091186	0.245102838064693	139	116	1.6281837483415e-09	1.38664458251195e-06
COG4242	size_fraction	0.22-3	1.82854769993481	0.269658759727716	139	139	1.70032594494394e-09	1.41517355522255e-06
COG3961	size_fraction	0.22-3	2.59791238863761	0.384666663579786	139	139	1.91895777874642e-09	1.56164784034384e-06
COG1030	Mean_Oxygen	Mean_Oxygen	-0.0114246386488515	0.00169693146373082	139	139	2.10727114276436e-09	1.60771617748278e-06
COG1856	Mean_Oxygen	Mean_Oxygen	-0.0274244887215413	0.00407187220944776	139	122	2.08336934977832e-09	1.60771617748278e-06
COG2164	Mean_Oxygen	Mean_Oxygen	-0.0160819748493941	0.00238530503313237	139	135	2.01981479147718e-09	1.60771617748278e-06
COG0573	log_PO4	log_PO4	-0.633108166347722	0.0946604128402204	139	139	2.56355357845442e-09	1.91591623666489e-06
COG3857	Mean_Oxygen	Mean_Oxygen	-0.0213693305898551	0.00320066624369419	139	139	2.69927122007637e-09	1.93823551667484e-06
COG4993	log_depth	log_depth	0.483554959268672	0.0724187860128508	139	139	2.69120577613332e-09	1.93823551667484e-06
COG2159	log_depth	log_depth	0.597180966125584	0.089945166206622	139	139	3.17997091422229e-09	2.19723990282518e-06
COG4552	log_depth	log_depth	1.02280408157114	0.154024243694453	139	139	3.16387949817282e-09	2.19723990282518e-06
COG4889	sqrt_iron	sqrt_iron	-0.609957762995445	0.0922818056213072	139	139	3.6240600685778e-09	2.42495178648464e-06
COG5285	log_depth	log_depth	0.294770688745047	0.0446040336152494	139	139	3.64196357982183e-09	2.42495178648464e-06
COG3083	log_depth	log_depth	1.1388509905822	0.172547582479713	139	139	3.77915309639142e-09	2.47136367040982e-06
COG2250	log_depth	log_depth	1.10252978456019	0.167465138878623	139	129	4.06520472058047e-09	2.5667562426272e-06
COG5015	log_depth	log_depth	1.72386077263887	0.261718700021135	139	94	4.01091030371739e-09	2.5667562426272e-06
COG1775	Mean_Oxygen	Mean_Oxygen	-0.0516281868641595	0.00786093689120741	139	100	4.3606407980342e-09	2.64029747171894e-06
COG2235	log_depth	log_depth	0.981086293922119	0.149374106364708	139	139	4.35504045073778e-09	2.64029747171894e-06
COG3653	log_depth	log_depth	0.387536066043296	0.0590238831191999	139	139	4.39797235943461e-09	2.64029747171894e-06
COG2180	Mean_Oxygen	Mean_Oxygen	-0.0345456474836272	0.00526899120329252	139	133	4.5823854575429e-09	2.70663770710772e-06
COG1144	Mean_Oxygen	Mean_Oxygen	-0.0558884266922723	0.0085329425571807	139	86	4.71893111567572e-09	2.71159592900115e-06
COG2141	log_depth	log_depth	0.418960551661699	0.063975501861049	139	139	4.73886948625307e-09	2.71159592900115e-06
COG0247	sqrt_iron	sqrt_iron	0.600514339241135	0.0918435525526285	139	139	4.95858259103063e-09	2.79366543178666e-06
COG1118	log_depth	log_depth	0.612622598110376	0.0938909413141463	139	139	5.26408516300489e-09	2.88265876723897e-06
COG4359	log_depth	log_depth	1.58162409546574	0.242416629134977	139	115	5.27397224010844e-09	2.88265876723897e-06
COG4012	Absolute_Latitude	Absolute_Latitude	0.577788396602511	0.0887563486059344	139	50	5.62237134396688e-09	3.02789501452075e-06
COG0704	log_PO4	log_PO4	-0.731184212914968	0.112416366056577	139	139	5.76156328143783e-09	3.05788708593529e-06
COG4647	Mean_Oxygen	Mean_Oxygen	-0.0232548868466229	0.00358856077082537	139	133	6.39982867955845e-09	3.348116086773e-06
COG3365	Mean_Oxygen	Mean_Oxygen	-0.048313258132316	0.00746631400139079	139	53	6.67032721767144e-09	3.44047962025839e-06
COG2221	Mean_Oxygen	Mean_Oxygen	-0.0121370443688127	0.00187659822120727	139	139	6.76604963344484e-09	3.44138199481088e-06
COG1415	log_depth	log_depth	0.778924239004112	0.12118764012628	139	139	8.06542563183101e-09	4.04608153511347e-06
COG1592	sqrt_iron	sqrt_iron	0.91885762802068	0.143411350479885	139	139	8.81250121141993e-09	4.36111630896499e-06
COG1730	log_depth	log_depth	1.57725063835424	0.247308261544811	139	117	1.00222535135586e-08	4.89366594560038e-06
COG3738	size_fraction	0.22-3	1.33242683832711	0.20948174721135	139	139	1.07971557250567e-08	5.20266631325397e-06
COG1921	log_depth	log_depth	0.402373833396743	0.0633296181299736	139	139	1.11287648419686e-08	5.29281165295755e-06
COG3627	log_PO4	log_PO4	-1.39189333603343	0.219581367894057	139	139	1.18693132956914e-08	5.57264259232711e-06
COG1647	Mean_Oxygen	Mean_Oxygen	-0.0153953636154844	0.00243494742904421	139	138	1.2735251060362e-08	5.90351429217111e-06
COG3624	log_PO4	log_PO4	-1.36206888620282	0.21588640693971	139	138	1.35037992100402e-08	6.18153288588604e-06
COG3364	log_depth	log_depth	3.35310119153277	0.53497463306315	139	49	1.61647285902775e-08	7.3082534037599e-06
COG4700	Mean_Oxygen	Mean_Oxygen	-0.0253536502739761	0.00406442472492846	139	128	1.8396535456063e-08	8.21584786507907e-06
COG5530	log_depth	log_depth	1.11533345017651	0.17950925847074	139	132	2.04733655421804e-08	9.03319421108659e-06
COG2231	Mean_Oxygen	Mean_Oxygen	-0.0273873386277259	0.00441611786709641	139	132	2.15229677701731e-08	9.38324527037513e-06
COG3640	Mean_Oxygen	Mean_Oxygen	-0.0267342991391974	0.0043137793404734	139	137	2.192288986036e-08	9.44515470089698e-06
COG0591	log_depth	log_depth	0.333276685767802	0.0538517773276001	139	139	2.27571819038081e-08	9.69059021510879e-06
COG3273	log_depth	log_depth	1.36851401285035	0.221717138436449	139	128	2.44314921990054e-08	1.005287276202e-05
COG3799	log_depth	log_depth	2.72086207631533	0.440594035754063	139	51	2.41068465910875e-08	1.005287276202e-05
COG4801	log_depth	log_depth	3.24109036923701	0.525026210413647	139	48	2.43414428432929e-08	1.005287276202e-05
COG4886	log_depth	log_depth	0.545360347457132	0.0884785944999353	139	139	2.53541144531442e-08	1.03165891709844e-05
COG2088	Mean_Oxygen	Mean_Oxygen	-0.0199632475487856	0.00324552346981807	139	130	2.67871760147361e-08	1.07516474671092e-05
COG2380	log_depth	log_depth	2.31268929754903	0.376103005015797	139	63	2.70105012690546e-08	1.07516474671092e-05
COG1824	log_depth	log_depth	1.45605436457943	0.237130680355373	139	127	2.80526902126433e-08	1.10464254653464e-05
COG2968	log_depth	log_depth	1.14934856868917	0.187457702250866	139	139	2.91697620734496e-08	1.12444827041242e-05
COG3083	size_fraction	0.22-3	2.00727851318058	0.327340307725005	139	139	2.90640624641921e-08	1.12444827041242e-05
COG0248	log_PO4	log_PO4	-0.332911868531782	0.0543878738799514	139	139	3.04764428493172e-08	1.16258105581755e-05
COG0043	log_depth	log_depth	0.669264371637425	0.109507468685606	139	139	3.17460895733575e-08	1.19852942914013e-05
COG1816	log_depth	log_depth	0.353697724254773	0.0579590467217203	139	139	3.30053603307285e-08	1.20855976893209e-05
COG2881	log_depth	log_depth	3.07773329009665	0.504357103268609	139	48	3.30416711956923e-08	1.20855976893209e-05
COG2956	log_depth	log_depth	0.4194181696613	0.0687541780089225	139	139	3.33318414740561e-08	1.20855976893209e-05
COG4284	Mean_Oxygen	Mean_Oxygen	-0.0195118118672068	0.00319587371437386	139	139	3.26146387441457e-08	1.20855976893209e-05
COG1913	Mean_Oxygen	Mean_Oxygen	-0.0264007074598552	0.00433376825222625	139	114	3.4557487579843e-08	1.22866966277809e-05
COG4912	log_depth	log_depth	1.17011493991783	0.192046388207613	139	138	3.44067139721209e-08	1.22866966277809e-05
COG5337	size_fraction	0.22-3	0.938468651600479	0.154703230539825	139	139	3.85764528415585e-08	1.35837334568338e-05
COG3044	Mean_Oxygen	Mean_Oxygen	-0.0259689596354737	0.00429294866850433	139	136	4.15026176767561e-08	1.4474927256576e-05
COG1545	log_depth	log_depth	0.418619382332251	0.0692917303387078	139	139	4.29157517454995e-08	1.46646403237697e-05
COG2461	Mean_Oxygen	Mean_Oxygen	-0.0536365344139518	0.00888079979316116	139	59	4.32478947862462e-08	1.46646403237697e-05
COG2878	sqrt_iron	sqrt_iron	0.941335643630847	0.155760871652267	139	139	4.25380015424665e-08	1.46646403237697e-05
